id,item_group_id,title,description,availability,condition,price,sale_price,size,link,image_link,additional_image_link,brand,google_product_category,product_type,additional_variant_attribute,custom_label_0,quantity_to_sell_on_facebook
3891-410-2757,3891,12 Taylormade TP5 AAA/Standard Grade (With Pen Marks),Save Up To 40% Off Our Regular Pricing on Taylormade TP5 and TP5x Golf Balls! Huge Savings From Lost Golf Balls.,in stock,used_good,26.99 AUD,,12 Balls,https://www.lostgolfballs.com.au/taylormade-tp5-pen.html,https://www.lostgolfballs.com.au/media/catalog/product/t/a/taylormade_tp5_5.jpeg,,TaylorMade,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > TaylorMade,Grade:AAA/Standard Grade,AAA/Standard Grade,
3893-411-2774,,50 Callaway Chrome Soft X AAA/Standard Grade,Huge Savings On 50 lots of Callaway Chrome Soft X Golf Balls. Order Before 3pm for Same Day Dispatch. Best Value At Lost Golf Balls.,in stock,used_good,129.99 AUD,,50 Balls,https://www.lostgolfballs.com.au/callaway-chrome-soft-x-50.html,https://www.lostgolfballs.com.au/media/catalog/product/c/a/callaway_chrome_soft_x_2.jpg,,Callaway,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > Callaway,,AAA/Standard Grade,
3895-412-4999,,50 Taylormade TP5 AAA/Standard Grade,Bulk Taylormade TP5 Golf Balls On Sale! Order Before 3pm - Same Day Dispatch. Save Huge Money Buy Purchasing From Lost Golf Balls!,in stock,used_good,139.99 AUD,,50 Balls,https://www.lostgolfballs.com.au/taylormade-tp5-50.html,https://www.lostgolfballs.com.au/media/catalog/product/t/a/taylormade_tp5_6.jpeg,,TaylorMade,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > TaylorMade,,AAA/Standard Grade,
3896-413-2802,3896,100 Taylormade TP5 AAAAA/Mint Grade,"Save Big On Taylormade TP5 Golf Balls! Best Quality, Huge Savings. Order Before 3pm - Same Day Dispatch. Cheap Taylormade TP5's From Lost Golf Balls!",in stock,used_like_new,389.99 AUD,,100 Balls,https://www.lostgolfballs.com.au/taylormade-tp5-100.html,https://www.lostgolfballs.com.au/media/catalog/product/t/a/taylormade_tp5_6_1.jpeg,,TaylorMade,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > TaylorMade,Grade:AAAAA/Mint Grade,AAAAA/Mint Grade,
3896-413-2804,3896,100 Taylormade TP5 AAA/Standard Grade,"Save Big On Taylormade TP5 Golf Balls! Best Quality, Huge Savings. Order Before 3pm - Same Day Dispatch. Cheap Taylormade TP5's From Lost Golf Balls!",in stock,used_good,249.99 AUD,,100 Balls,https://www.lostgolfballs.com.au/taylormade-tp5-100.html,https://www.lostgolfballs.com.au/media/catalog/product/t/a/taylormade_tp5_6_1.jpeg,,TaylorMade,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > TaylorMade,Grade:AAA/Standard Grade,AAA/Standard Grade,
3897-414-5036,3897,50 Taylormade TP5x AAA/Standard Grade,Best Value Taylormade TP5X Golf Balls! Order by 3pm - Same Day Dispatch. Save Massive Dollars Buy Purchasing From Lost Golf Balls!,in stock,used_good,139.99 AUD,,50 Balls,https://www.lostgolfballs.com.au/taylormade-tp5x-50.html,https://www.lostgolfballs.com.au/media/catalog/product/t/a/taylormade_tp5x_2.jpg,,TaylorMade,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > TaylorMade,Grade:AAA/Standard Grade,AAA/Standard Grade,
3897-414-4560,3897,50 Taylormade TP5x AA/C Grade,Best Value Taylormade TP5X Golf Balls! Order by 3pm - Same Day Dispatch. Save Massive Dollars Buy Purchasing From Lost Golf Balls!,in stock,used_fair,54.99 AUD,,50 Balls,https://www.lostgolfballs.com.au/taylormade-tp5x-50.html,https://www.lostgolfballs.com.au/media/catalog/product/t/a/taylormade_tp5x_2.jpg,,TaylorMade,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > TaylorMade,Grade:AA/C Grade,AA/C Grade,
3898-415-2819,3898,100 Taylormade TP5x AAA/Standard Grade,Cheap Taylormade TP5X Golf Balls! Buy Bulk and Save! Order by 3pm - Same Day Dispatch. Grab 100 Taylormade TP5x Golf Balls and Save Big Dollars.,in stock,used_good,239.99 AUD,,100 Balls,https://www.lostgolfballs.com.au/taylormade-tp5x-100.html,https://www.lostgolfballs.com.au/media/catalog/product/t/a/taylormade_tp5x_2_1.jpg,,TaylorMade,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > TaylorMade,Grade:AAA/Standard Grade,AAA/Standard Grade,
3898-415-2820,3898,100 Taylormade TP5x AA/C Grade,Cheap Taylormade TP5X Golf Balls! Buy Bulk and Save! Order by 3pm - Same Day Dispatch. Grab 100 Taylormade TP5x Golf Balls and Save Big Dollars.,in stock,used_fair,139.99 AUD,,100 Balls,https://www.lostgolfballs.com.au/taylormade-tp5x-100.html,https://www.lostgolfballs.com.au/media/catalog/product/t/a/taylormade_tp5x_2_1.jpg,,TaylorMade,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > TaylorMade,Grade:AA/C Grade,AA/C Grade,
3907-417-2831,,12 Callaway Chrome Soft X Triple Track AA/C Grade,Big Savings On Callaway Chrome Soft X Triple TrackGolf Balls. Order Golf Balls Before 3pm For Same Day Dispatch!,in stock,used_fair,22.99 AUD,,12 Balls,https://www.lostgolfballs.com.au/callaway-chrome-soft-x-triple.html,https://www.lostgolfballs.com.au/media/catalog/product/c/a/callaway_chrome_soft_x_triple_track.png,,Callaway,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > Callaway,,AA/C Grade,
3909-419-2863,,50 Bridgestone e6 Speed AAA/Standard Grade,Bridgestone E6 Speed Bulk Buys! Order By 2pm - Same Day Dispatch. Save Money With Lost Golf Balls.,in stock,used_good,74.99 AUD,,50 Balls,https://www.lostgolfballs.com.au/bridgestone-e6-speed-50.html,https://www.lostgolfballs.com.au/media/catalog/product/b/r/bridgestone_e6_speed_1.png,,Bridgestone,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > Bridgestone,,AAA/Standard Grade,
3917-420-2883,3917,12 Mint/Near Mint Grade Practice Titleist Pro V1,Huge savings on Titleist Pro V1 Practice Golf Balls!. Order by 3pm - Same Day Dispatch. Best Value At The Sharpest Price. Free Tees With Every Order.,in stock,used_like_new,34.99 AUD,,12 Balls,https://www.lostgolfballs.com.au/titleist-pro-v1-12-practice.html,https://www.lostgolfballs.com.au/media/catalog/product/t/i/titleist_pro_v1_practice.jpg,,Titleist,Sporting Goods > Outdoor Recreation > Golf > Golf Balls,Golf Balls > Titleist,Grade:Practice,Practice,
